candidate_turn_id,session_id_hash,student_id_hash,problem_id_hash,is_cp_related,is_substantial_turn,context_sufficiency,rough_bridge_family,surface_anchor,help_seeking_type,likely_slice,candidate_for_deep_annotation,exclusion_reason,privacy_review_status,consent_eligibility,candidate_selection_reason,screening_confidence,screened_by,notes
rs_screen_20260519_067,sess_f4aab2b83e75dea4,stu_862b981b435a8140,prob_5b06250d42543385,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_068,sess_e3c2518924af3b24,stu_e8d61ca1e8d38a6d,prob_19d6a797891845ab,yes,yes,partial,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_069,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_e893e49d29d156d7,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_070,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_e893e49d29d156d7,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_071,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_e893e49d29d156d7,yes,yes,sufficient,correctness_bridge,correctness / invariant reasoning,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_072,sess_71599837539e332a,stu_2874c3bc5292937e,prob_3b5a682d7bb8c38a,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_073,sess_a15f8b285126fe12,stu_fdff3e566a4a4271,prob_19d6a797891845ab,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_074,sess_a15f8b285126fe12,stu_fdff3e566a4a4271,prob_19d6a797891845ab,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_075,sess_a15f8b285126fe12,stu_fdff3e566a4a4271,prob_19d6a797891845ab,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_076,sess_ba9dcc427e044578,stu_925ad19bad497ce0,prob_19d6a797891845ab,yes,yes,partial,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_077,sess_571629a762d1832f,stu_925ad19bad497ce0,prob_19d6a797891845ab,yes,yes,partial,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_078,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_64d690de94e100e8,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_079,sess_a15f8b285126fe12,stu_fdff3e566a4a4271,prob_19d6a797891845ab,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_080,sess_4bd0461c9109cde2,stu_862b981b435a8140,prob_fe71818c54e0d18d,yes,yes,partial,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_081,sess_3b6be73b6f898336,stu_e8d61ca1e8d38a6d,prob_64d690de94e100e8,yes,yes,partial,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_082,sess_788a8815bf74104c,stu_9589f185858ab7f4,prob_e893e49d29d156d7,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_083,sess_10c81adf6d9537ed,stu_925ad19bad497ce0,prob_19d6a797891845ab,yes,yes,partial,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_084,sess_7074ab3d77222196,stu_3c07a7778ca0a3e7,prob_e893e49d29d156d7,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_085,sess_71599837539e332a,stu_2874c3bc5292937e,prob_3b5a682d7bb8c38a,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_086,sess_71599837539e332a,stu_2874c3bc5292937e,prob_c31ec95aba997a61,yes,yes,partial,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_087,sess_3a3f5a23126f98c9,stu_3c07a7778ca0a3e7,prob_228756cef729d2f5,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_088,sess_3a3f5a23126f98c9,stu_3c07a7778ca0a3e7,prob_228756cef729d2f5,yes,yes,partial,data_structure_bridge,tree / graph traversal,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_089,sess_1c6bb888ca60d204,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_090,sess_8b461a2d2d0257b2,stu_4b2d444c6851750d,prob_068410236aed77d1,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_091,sess_d27f09e628417f11,stu_4b2d444c6851750d,prob_068410236aed77d1,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_092,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_093,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_094,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_095,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_096,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_097,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,data_structure_bridge,tree / graph traversal,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_098,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_099,sess_d27f09e628417f11,stu_4b2d444c6851750d,prob_068410236aed77d1,yes,yes,sufficient,aggregation_contribution_bridge,prefix/difference contribution,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_100,sess_437f3d233c0f20b9,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_101,sess_d27f09e628417f11,stu_4b2d444c6851750d,prob_068410236aed77d1,yes,yes,sufficient,aggregation_contribution_bridge,prefix/difference contribution,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_102,sess_d27f09e628417f11,stu_4b2d444c6851750d,prob_068410236aed77d1,yes,yes,sufficient,aggregation_contribution_bridge,prefix/difference contribution,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_103,sess_d27f09e628417f11,stu_4b2d444c6851750d,prob_068410236aed77d1,yes,yes,partial,aggregation_contribution_bridge,prefix/difference contribution,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_104,sess_dea1804631cdf846,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_105,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,data_structure_bridge,data-structure operation,code_request,policy_safety_slice,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_106,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_107,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,data_structure_bridge,data-structure operation,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_108,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_109,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_110,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_111,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,state_representation_bridge,DP state,conceptual_hint,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_112,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_113,sess_9cb27ec235f80e16,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,policy_bridge,direct-answer / code request,code_request,policy_safety_slice,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_114,sess_dea1804631cdf846,stu_a449c196f0b55660,prob_6c0f2684dca7c19f,yes,yes,sufficient,correctness_bridge,correctness / invariant reasoning,debugging,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_115,sess_e7f8e6ca898d22da,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_116,sess_e7f8e6ca898d22da,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_117,sess_e7f8e6ca898d22da,stu_4b2d444c6851750d,prob_08af834e8fc24af1,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
